,image,caption
18214,2999730677_0cfa1c146e,"Two small dogs , light and dark colored , fighting on leaves ."
18215,2999735171_87ca43c225,A band member jumps in the air .
18216,2999735171_87ca43c225,A group of people jump in the air while playing music in the street .
18217,2999735171_87ca43c225,A man in blue pants is jumping while band plays music .
18218,2999735171_87ca43c225,People talk near stereo equipment outdoors .
18219,2999735171_87ca43c225,Several people in a band jumping up and down to the music .
18220,3000428313_8a1e65e20e,A boy in a blue wetsuit is riding a surfboard
18221,3000428313_8a1e65e20e,A boy rides a surfboard over a small wave in bright blue water .
18222,3000428313_8a1e65e20e,A boy wearing a blue wetsuit rides on a blue surfboard .
18223,3000428313_8a1e65e20e,The boy is riding a blue board in the water .
18224,3000428313_8a1e65e20e,Two kids in blue wetsuits surf .
18225,3000722396_1ae2e976c2,A black and white dog carries a ball toy .
18226,3000722396_1ae2e976c2,A black and white dog carries a red toy through the green grass .
18227,3000722396_1ae2e976c2,A black and white dog holds the handle of a large red round toy in a field
18228,3000722396_1ae2e976c2,Black and white dog carrying a red ball .
18229,3000722396_1ae2e976c2,The proud dog returns with the toy it fetched .
18230,300148649_72f7f0399c,A man in a white shirt and jeans playing an accordion .
18231,300148649_72f7f0399c,A man in white is playing a black accordion .
18232,300148649_72f7f0399c,A man plays an accordion on a park bench .
18233,300148649_72f7f0399c,A man plays an accordion .
18234,300148649_72f7f0399c,A seated boy plays the accordion .
18235,3001612175_53567ffb58,A man and dog walk down cement steps while a woman in a headscarf looks on from a seated position on the bottom step .
18236,3001612175_53567ffb58,A man walks his black dog down the cement steps where a woman dressed in black sits .
18237,3001612175_53567ffb58,"A woman with a dog descends an outdoor staircase , a bus behind her ."
18238,3001612175_53567ffb58,A young man walks his dog down some steps where a black-clad woman is sitting
18239,3001612175_53567ffb58,One woman is sitting on steps another woman is coming down them .
18240,300222673_573fd4044b,A man plays a song on the guitar for his cat .
18241,300222673_573fd4044b,A man plays a yellow guitar while a cat watches him .
18242,300222673_573fd4044b,A man plays his yellow guitar while staring at his cat .
18243,300222673_573fd4044b,"A man , sitting by his computer , playing guitar to his cat ."
18244,300222673_573fd4044b,The man is playing guitar and sitting with a cat .
18245,3002448718_a478c64fb4,A group of girls stands wearing jean skirts and superman shirts .
18246,3002448718_a478c64fb4,A group of women with black shirts .
18247,3002448718_a478c64fb4,"Four women in front of Odeon wear similar black , pink and white superman type shirts and jean skirts ."
18248,3002448718_a478c64fb4,"Girls in matching outfits , one holding inflatable toy , outside of ODEON building ."
18249,3002448718_a478c64fb4,Girls walking in the street on a sunny day .
18250,300274198_eefd8e057e,A brown and white dog licking its chops while sitting in a green room with a tile floor .
18251,300274198_eefd8e057e,a brown dog is licking its lips whilst standing next to two empty feeding bowls .
18252,300274198_eefd8e057e,A brown pitbull licks its chops as it waits for the empty food bowl to be filled .
18253,300274198_eefd8e057e,A dog is licking its lips while sitting beside two feeding tray .
18254,300274198_eefd8e057e,A dog licking his lips in a room with no food in its dish .
18255,3002920707_5d2e6e6aac,A boy and a girl dancing .
18256,3002920707_5d2e6e6aac,A boy and girl are dancing .
18257,3002920707_5d2e6e6aac,a boy in brown shorts is dancing with a girl wearing a green hood in a wooden floored room whilst other children look on .
18258,3002920707_5d2e6e6aac,A little girl and a little boy are facing each other .
18259,3002920707_5d2e6e6aac,Two children facing each other are doing a dance .
18260,3003011417_79b49ff384,A group of children are sitting on a raft wearing blue helmets and carrying paddles .
18261,3003011417_79b49ff384,A group of kids paddle a raft made of sticks and rope .
18262,3003011417_79b49ff384,Children paddle on a craft .
18263,3003011417_79b49ff384,"Children wearing life preserves and helmets , and holding an oar , sit on a raft in water ."
18264,3003011417_79b49ff384,several young boys wearing blue helmets and blue and red life jackets on a raft
18265,300314926_0b2e4b64f5,A man gets lots of air time as he wakeboards .
18266,300314926_0b2e4b64f5,A man is waterskiing on one ski and jumping out of the water .
18267,300314926_0b2e4b64f5,A wakeboarder leaps in the air .
18268,300314926_0b2e4b64f5,A waterskier is jumping through the air whilst holding onto the line .
18269,300314926_0b2e4b64f5,The man on the board uses the wave to jump high into the air .
18270,3003612178_8230d65833,A smiling woman with red lips wearing a white sweater and black hat is waving .
18271,3003612178_8230d65833,A stocky woman with black hair stands smiling and waving among dried corn stalks .
18272,3003612178_8230d65833,A woman in a yellow fluffy shirt waving next to dried corn husks .
18273,3003612178_8230d65833,A woman waving at the camera and smiling .
18274,3003612178_8230d65833,A woman waving from between two piles of dried corn husk .
18275,3003691049_f4363c2d5c,A dog corners a little girl next to a police cruiser .
18276,3003691049_f4363c2d5c,A girl playing with a dog near a police car .
18277,3003691049_f4363c2d5c,"A large white dog , a girl , and a police car in a driveway and an SUV in a garage ."
18278,3003691049_f4363c2d5c,"A little girl is playing with a large , white poodle in the driveway next to a police car ."
18279,3003691049_f4363c2d5c,The girl is playing with her dog in her driveway .
18280,300371487_daec5d11ab,A brown dog playing outside with a pink ball .
18281,300371487_daec5d11ab,A brown dog running after a red ball .
18282,300371487_daec5d11ab,A dog chasing a pink ball .
18283,300371487_daec5d11ab,Brown dog catches a pink ball in the park .
18284,300371487_daec5d11ab,Brown dog chasing a pink ball .
18285,3004287781_c041c09c16,a group of people making excited expressions with their hands
18286,3004287781_c041c09c16,A group of people who look very excited about something stand outdoors .
18287,3004287781_c041c09c16,A woman wearing a hood gives two peace signs while the man next to her claps and the woman behind her raises up her arms .
18288,3004287781_c041c09c16,Several young people celebrate by clapping and cheering .
18289,3004287781_c041c09c16,The group makes faces and hand gestures for the camera .
18290,3004290523_d1319dfdb4,A man in a cast uses a camcorder while another man watches him .
18291,3004290523_d1319dfdb4,A man makes a video while another watches .
18292,3004290523_d1319dfdb4,A man with a cast films some video while another man smiles .
18293,3004290523_d1319dfdb4,A man with a cast is using a camcorder to record an enjoyable event .
18294,3004290523_d1319dfdb4,A man with an arm cast films something on video while another man is looking at the camera .
18295,3004291093_35d6fd8548,A man has bleached tips in his Afro style hair and is on a cellphone .
18296,3004291093_35d6fd8548,A man with black hair and blonde tips talks on his cellphone
18297,3004291093_35d6fd8548,A man with crazy hair is sitting with his fingers in his ears .
18298,3004291093_35d6fd8548,A man with dreadlocks is plugging his ear to hear a phone call .
18299,3004291093_35d6fd8548,A person with lots of hair and a Pac-man jacket is making a phone call .
18300,3004291289_c4892898ae,a blonde haired girl in an Obama t-shirt is smiling at the camera .
18301,3004291289_c4892898ae,A girl with long hair wearing an Obama t-shirt .
18302,3004291289_c4892898ae,a woman wearing a t-shirt that says Obama
18303,3004291289_c4892898ae,"A young women wears an "" Obama "" t-shirt ."
18304,3004291289_c4892898ae,Woman in Obama t-shirt smiling .
18305,3004359992_f6b3617706,A group of girls in cheerleader clothing tosses another girl into the air with an athletic field in the background .
18306,3004359992_f6b3617706,"A group of young women , one up in the air ."
18307,3004359992_f6b3617706,Cheerleaders throw girl in air .
18308,3004359992_f6b3617706,Five girls cheerleading .
18309,3004359992_f6b3617706,The cheerleaders toss their fellow member in the air .
18310,3004823335_9b82cbd8a7,A black and white dog looking up .
18311,3004823335_9b82cbd8a7,A black and white dog stares up into the sky on a sunny day .
18312,3004823335_9b82cbd8a7,"A dog in a grassy field , looking up ."
18313,3004823335_9b82cbd8a7,A dog looking up in a grassy field .
18314,3004823335_9b82cbd8a7,The black and white dog is running on the grass .
18315,300500054_56653bf217,Four guys playing soccer on the pavement .
18316,300500054_56653bf217,Four people are playing soccer in a desolate field with a tree nearby .
18317,300500054_56653bf217,Four people playing soccer at a distance .
18318,300500054_56653bf217,Four people playing soccer on a brown surface .
18319,300500054_56653bf217,four soccer players play on the pavement .
18320,3005123298_d3017d5f5d,A man in a black sweatshirt holds up an Obama sign .
18321,3005123298_d3017d5f5d,A man in black holds up an Obama 08 sign .
18322,3005123298_d3017d5f5d,A man raises a campaign sign over his head .
18323,3005123298_d3017d5f5d,An excited supporter of the Obama ticket for the 2008 presidential election .
18324,3005123298_d3017d5f5d,An Obama Biden supporter cheers for the Presidential candidate and his running mate .
18325,3005124440_c096b310fb,Three democrat supporters hold signs for an election .
18326,3005124440_c096b310fb,Three people pose with their political signs out in public .
18327,3005124440_c096b310fb,Three people smiling and holding political signs .
18328,3005124440_c096b310fb,Three people with political signs .
18329,3005124440_c096b310fb,Two men and a woman pose with signs for Obama and Chris Gregoire .
18330,3005126574_49c28ffbee,A black man is wearing a brown shirt and a necklace .
18331,3005126574_49c28ffbee,A black man with a necklace is starring off camera .
18332,3005126574_49c28ffbee,A man looks straight ahead at night .
18333,3005126574_49c28ffbee,A man with black skin and short hair wears a necklace and gray shirt .
18334,3005126574_49c28ffbee,An man of African heritage is wearing a grey shirt and silver neck chain .
18335,300539993_eede2d6695,A black and brown dog chewing on a stick
18336,300539993_eede2d6695,A black and brown dog is chewing on a large stick .
18337,300539993_eede2d6695,A brown and black dog laying down and gnawing on the end of a stick .
18338,300539993_eede2d6695,A dog chews on a stick .
18339,300539993_eede2d6695,A dog gnawing on a bone .
18340,300550441_f44ec3701a,A woman in a skirt walks down a path .
18341,300550441_f44ec3701a,a woman walks on boards .
18342,300550441_f44ec3701a,A woman with a scarf on her head walks down a wooden boardwalk .
18343,300550441_f44ec3701a,Several people in a park walking on a low wooden boardwalk .
18344,300550441_f44ec3701a,The woman wearing the brown skirt is carrying a black bag along a wooden walkway .
18345,300577374_bfccb0430b,A city square with a large red wall and people walking about .
18346,300577374_bfccb0430b,A town square of cobblestones with many people walking through it
18347,300577374_bfccb0430b,"Average , everyday people walk by a facility ."
18348,300577374_bfccb0430b,Group of people on a brick plaza .
18349,300577374_bfccb0430b,People walk through a square .
18350,300577375_26cc2773a1,A cop stands in front of a car on a busy street .
18351,300577375_26cc2773a1,A man walks in the city .
18352,300577375_26cc2773a1,An officer stands next to a car on a city street .
18353,300577375_26cc2773a1,A policeman stands in front of an SUV .
18354,300577375_26cc2773a1,A police officer is lighting a cigarette .
18355,3005872315_e6771763bd,A close-up of a man shooting a handgun into the woods .
18356,3005872315_e6771763bd,a closeup of someone 's hands shooting a black gun
18357,3005872315_e6771763bd,A pair of hands is shooting a black gun in the direction of trees .
18358,3005872315_e6771763bd,A person in a blue shirt shoots a gun .
18359,3005872315_e6771763bd,Someone fires a bullet from a handgun into the woods .
18360,300594071_3450444752,a large woman sits in a port a john .
18361,300594071_3450444752,A person is sitting in front of three blue and white port-o-potties with a mop propped against them .
18362,300594071_3450444752,"A woman , wearing an apron , sits outside three portable toilets ."
18363,300594071_3450444752,A woman who cleans out port-a-potties rests .
18364,300594071_3450444752,The lady is waiting to clean the bathrooms .
18365,3006093003_c211737232,A man talking on a cellphone is holding a blue banner .
18366,3006093003_c211737232,A man talks on a cellphone while holding an Obama campaign sign .
18367,3006093003_c211737232,The man in glasses carrying an Obama poster is talking on a cellphone .
18368,3006093003_c211737232,The Obama supporter wears a black jacket and brown hat .
18369,3006093003_c211737232,Yong man with cellphone and goatee holding Obama sign
18370,3006094603_c5b32d2758,A man wearing a Barack Obama shirt smiles for the camera
18371,3006094603_c5b32d2758,A man wearing an Obama t-shirt and holding a coffee cup .
18372,3006094603_c5b32d2758,A young man touts an Obama t-shirt .
18373,3006094603_c5b32d2758,This is a man holding a cup and wearing an Obama t-shirt .
18374,3006094603_c5b32d2758,This man is wearing a Barack Obama T-shirt and carrying a drink .
18375,3006095077_1992b677f8,A couple of men in hats posing for a picture by a gas station .
18376,3006095077_1992b677f8,Two guys wearing jackets .
18377,3006095077_1992b677f8,Two men in hats pose together .
18378,3006095077_1992b677f8,Two men wearing hats .
18379,3006095077_1992b677f8,Two men wearing hats stand together and smile .
18380,3006217970_90b42e6b27,A car sponsored by Riwal is smoking its tires on a wet road .
18381,3006217970_90b42e6b27,A race car drives along a track in the rain
18382,3006217970_90b42e6b27,A racing car is driving around a wet track with its headlights on .
18383,3006217970_90b42e6b27,A small race car with advertising is driving on a rainy track .
18384,3006217970_90b42e6b27,A sponsored race car is driving with lights on a wet raceway .
18385,3006926228_cf3c067b3e,A man is raising his hand in the air and has a t-shirt with the united states on it .
18386,3006926228_cf3c067b3e,A man makes celebratory gestures among a crowd at night .
18387,3006926228_cf3c067b3e,man and woman cheering
18388,3006926228_cf3c067b3e,People yell with their arms streched at night .
18389,3006926228_cf3c067b3e,The man and one of the women have their hands raised .
18390,3007214949_a4b027f8a3,A boy and girl bounce on a trampoline nearby a playground and area of foliage .
18391,3007214949_a4b027f8a3,A little girl and boy jump on a trampoline outside .
18392,3007214949_a4b027f8a3,Children playing on a trampoline .
18393,3007214949_a4b027f8a3,Two children bounce on a trampoline .
18394,3007214949_a4b027f8a3,Two small children sitting and jumping on a trampoline .
18395,300765528_8c8f709dda,A group of brides in white gowns hold red flowers on the side of a street .
18396,300765528_8c8f709dda,A group of men and women are in wedding attire .
18397,300765528_8c8f709dda,Line of women in white dresses holding red flowers
18398,300765528_8c8f709dda,many brides line up on the street .
18399,300765528_8c8f709dda,several brides wearing white dresses are holding red roses
18400,3008370541_ce29ce49f0,"A black dog leaps from the bank into a body of water , with a field of dry grass in the background ."
18401,3008370541_ce29ce49f0,A black dog with a blue collar is jumping into the water .
18402,3008370541_ce29ce49f0,A black lab runs headlong into a lake surrounded by farmland .
18403,3008370541_ce29ce49f0,The black dog is running down the grassy knoll to jump in the water below .
18404,3008370541_ce29ce49f0,The dog is jumping into the lake .
18405,3009018821_ba47396e24,A girl in a swimming pool playing badminton while a lady watches .
18406,3009018821_ba47396e24,A woman in a pink bathing suit holds a badminton racket while another lady looks on .
18407,3009018821_ba47396e24,A woman sits and watches another woman play in the pool .
18408,3009018821_ba47396e24,One woman sitting beside the pool while another plays badminton in the pool .
18409,3009018821_ba47396e24,Woman playing badminton in the pool while another woman looks on .
18410,3009035153_715e39b440,A boy in black is jumping .
18411,3009035153_715e39b440,A boy jumping with a sunset in the background .
18412,3009035153_715e39b440,A young boy is wearing khaki pants and a black long sleeve shirt .
18413,3009035153_715e39b440,The child is jumping at dusk .
18414,3009035153_715e39b440,Young boy jumping with sunset behind him
18415,3009047603_28612247d2,a boy in a stripy shirt is playing with a soccer ball in a grassy park in front of some bushes .
18416,3009047603_28612247d2,A boy in midair trying to kick a soccer ball
18417,3009047603_28612247d2,A boy leaping in the air towards a soccer ball .
18418,3009047603_28612247d2,A child falling back to kick a soccer ball .
18419,3009047603_28612247d2,Boy leaning backward to kick a soccer ball in midair .
18420,300922408_05a4f9938c,"A black man and a large , golden dog are on the beach ."
18421,300922408_05a4f9938c,A black man and his dog on the beach .
18422,300922408_05a4f9938c,A man kneels in the wet sand at a beach near a dog .
18423,300922408_05a4f9938c,A man playing with his brown dog on the beach .
18424,300922408_05a4f9938c,Man and dog standing on the beach .
18425,3009383694_e045c6169e,A man is bungee jumping from a platform whilst being watched by someone above him .
18426,3009383694_e045c6169e,A man is in freefall from a point at which others are observing .
18427,3009383694_e045c6169e,A person bungee jumping with the coordinator watching from above .
18428,3009383694_e045c6169e,A view from below of a man bungee jumping
18429,3009383694_e045c6169e,This man is bungee jumping .
18430,3009644534_992e9ea2a7,a closeup photo of a small dog with a holey ball in his mouth .
18431,3009644534_992e9ea2a7,A dog carrying a white ball .
18432,3009644534_992e9ea2a7,A dog fetches a ball in a field .
18433,3009644534_992e9ea2a7,A dog trots with a ball in its mouth .
18434,3009644534_992e9ea2a7,The dog is carrying a whiffle ball outside
18435,3012513414_86180c44cb,A man performs a ski jump in the snow .
18436,3012513414_86180c44cb,A skier in a black top making a jump with a blue and white sign on pile of snow underneath .
18437,3012513414_86180c44cb,A skier high in the air after a jump .
18438,3012513414_86180c44cb,Man on skis attempting to jump over a snow pile
18439,3012513414_86180c44cb,The skier is airborne after going off the ramp .
18440,3013469764_30e84e9a0d,An ATV racer blasts down the track sending dirt flying everywhere .
18441,3013469764_30e84e9a0d,A person is on a four wheeler kicking up a lot of dirt in a dune .
18442,3013469764_30e84e9a0d,A person is riding an ATV through the dirt .
18443,3013469764_30e84e9a0d,ATV rider spinning his wheels .
18444,3013469764_30e84e9a0d,The quad runner goes up the sand dune .
18445,3014015906_fdba461f36,Three boys in orange shorts are walking on the rocks beside a woodland stream .
18446,3014015906_fdba461f36,Three boys in swimming trunks walk upstream .
18447,3014015906_fdba461f36,Three men only in shorts walking along a river
18448,3014015906_fdba461f36,Three people walking along a stream in a jungle .
18449,3014015906_fdba461f36,Three people wearing shorts walk on rocks along the side of a stream in the woods .
18450,3014080715_f4f0dbb56e,a group of dogs pulling a sled through the snow .
18451,3014080715_f4f0dbb56e,A team of dogs are pulling a sled over snow .
18452,3014080715_f4f0dbb56e,A team of dogs pulling a sled .
18453,3014080715_f4f0dbb56e,A team of dogs pulling a sled down a snow covered road .
18454,3014080715_f4f0dbb56e,Sled dogs pull a sled through a snowy forest .
18455,3014169370_fc4059352e,A man in yellow standing between two waterfalls .
18456,3014169370_fc4059352e,A man standing between waterfalls .
18457,3014169370_fc4059352e,A man wearing a yellow shirt jumps into a lake surrounded by two waterfalls .
18458,3014169370_fc4059352e,A person wearing a yellow shirt just jumped from the top of the waterfall .
18459,3014169370_fc4059352e,A person wearing a yellow shirt stands between two waterfalls .
18460,3014546644_d53db746ec,A black and white dog on an orange leash jumps in a field .
18461,3014546644_d53db746ec,A dog is bounding through tall grass .
18462,3014546644_d53db746ec,A dog jumps and runs through tall grass with an orange rope under its legs .
18463,3014546644_d53db746ec,a dog jumps in the field .
18464,3014546644_d53db746ec,A dog runs into an autumn forest with an orange line attached .
18465,3014773357_f66bd09290,A swan unfurling his wings over the water with a second swan in the background .
18466,3014773357_f66bd09290,Two geese in dark blue water one goose has wings outstreached the other is starting a dive .
18467,3014773357_f66bd09290,"Two swans are in the water , the one in front is flapping its wings ."
18468,3014773357_f66bd09290,two white geese on the surface of the ocean
18469,3014773357_f66bd09290,Two white swans on the water .
18470,3014986976_0e7b858970,A bunch of people sit in their jeeps on a dirt road .
18471,3014986976_0e7b858970,A large group of people all driving Jeeps down a two lane path .
18472,3014986976_0e7b858970,Many people are in a line of traffic and all are in jeeps .
18473,3014986976_0e7b858970,Many villages in Jeeps fill a rural roadway .
18474,3014986976_0e7b858970,"Outdoor area crowded with jeeps packed with people , seen from behind ."
18475,3015368588_ef0a06076d,A runner heading toward a base while the baseman tries to tag him out .
18476,3015368588_ef0a06076d,one baseball player running toward a base with another waiting on the base
18477,3015368588_ef0a06076d,"These two people are in baseball uniforms , making a play at base ."
18478,3015368588_ef0a06076d,Two men playing baseball with the one in the black and red jersey running toward base .
18479,3015368588_ef0a06076d,Two people playing baseball .
18480,3015863181_92ff43f4d8,A man in a flower patterned shirt is bowling .
18481,3015863181_92ff43f4d8,A person bending over to pick up a ball at a bowling alley
18482,3015863181_92ff43f4d8,People at the bowling alley .
18483,3015863181_92ff43f4d8,The person in the white flowered shirt is bending down at the ball return in the bowling alley .
18484,3015863181_92ff43f4d8,Two people at the bowling alley .
18485,3015891201_2c1a9e5cd7,A blond girl with a poster poses with a black haired girl .
18486,3015891201_2c1a9e5cd7,"Two costumed women holding a poster entitled "" prom night "" ."
18487,3015891201_2c1a9e5cd7,two girls holding up a scary movie flyer
18488,3015891201_2c1a9e5cd7,Two women hold a promotional poster from a movie .
18489,3015891201_2c1a9e5cd7,"two women hold up a flyer for the movie "" prom night "" ."
18490,3015898903_70bebb8903,A man and 2 women in dark clothing .
18491,3015898903_70bebb8903,Man with red marks around mouth standing with two women who are wearing black .
18492,3015898903_70bebb8903,Three people wear a lot of makeup and stand together .
18493,3015898903_70bebb8903,Two women in Gothic makeup are posing next to a man in a leather jacket and red scarf .
18494,3015898903_70bebb8903,"Young man with red stains on face , with two women , posing in black clothing ."
18495,3016178284_ec50a09e8c,A boy wearing full riding gear is riding his bike down a paved road .
18496,3016178284_ec50a09e8c,A child wearing a bicycle helmet and uniform is riding a bike
18497,3016178284_ec50a09e8c,A cyclist riding a bicycle on a road .
18498,3016178284_ec50a09e8c,A young man in a bicycle helmet rides on a street .
18499,3016178284_ec50a09e8c,Boy in a helmet riding his bike in a marathon .
18500,3016200560_5bf8a70797,A dog runs down a footbride in the fall .
18501,3016200560_5bf8a70797,A fluffy dog runs across a bridge near a forest .
18502,3016200560_5bf8a70797,a tan jump running across a narrow bridge .
18503,3016200560_5bf8a70797,A white dog is running over a bridge .
18504,3016200560_5bf8a70797,A white dog running over a bridge .
18505,3016521240_2ef20834b6,A girl holds a blow-up tiger while another girl is in a costume .
18506,3016521240_2ef20834b6,A girl sits on a bench holding an inflatable tiger next to another girl in a colorful outfit .
18507,3016521240_2ef20834b6,Girls sit in costumes .
18508,3016521240_2ef20834b6,The girl wearing black is holding a toy and is sitting next to a girl in costume .
18509,3016521240_2ef20834b6,"Two women sitting on a bench , their faces obscured , with one woman carrying an inflatable tiger and the other woman in a Disney snow white costume ."
18510,3016606751_0e8be20abd,A man leaping into the air with a mountain vista behind him .
18511,3016606751_0e8be20abd,A man poses as he jumps from rock to rock in a forest .
18512,3016606751_0e8be20abd,A man steps off of a boulder .
18513,3016606751_0e8be20abd,A young man leaps through the air from a rocky mountaintop .
18514,3016606751_0e8be20abd,A young man poses as he jumps in midair between two rocks in a highland .
18515,3016651969_746bd36e68,Movers getting furniture through a window on the second floor and amused passers by .
18516,3016651969_746bd36e68,People are pulling something out of a second story window
18517,3016651969_746bd36e68,People are walking on a street outside of a building .
18518,3016651969_746bd36e68,People holding onto ropes while trying to get something through a window on the second floor .
18519,3016651969_746bd36e68,People move furniture through the second-story window of a building using ropes and pulleys .
18520,3016708786_3591106cca,A group of young men wrestle with each other wielding a floppy toy sword .
18521,3016708786_3591106cca,Teenagers are playing with a toy sword .
18522,3016708786_3591106cca,The three people are playing around with a fake knife .
18523,3016708786_3591106cca,Three men with mouths open and one is holding a fake sword
18524,3016708786_3591106cca,Two young men pretend to attack a third man with a colorful prop knife .
18525,3016726158_4d15b83b06,The man wears a white hat and poses with a blonde woman and a black haired woman .
18526,3016726158_4d15b83b06,Three people are dressed for a costume party .
18527,3016726158_4d15b83b06,Three people dressed in costumes pose for the camera .
18528,3016726158_4d15b83b06,three people posing for the picture with big smiles and blood on the faces of two people
18529,3016726158_4d15b83b06,Three smiling people in various costumes .
18530,3016741474_72b4355198,"A couple hug each other , while holding a toy tiger ."
18531,3016741474_72b4355198,A couple hugs while holding a plastic tiger .
18532,3016741474_72b4355198,A couple with an inflatable tiger .
18533,3016741474_72b4355198,a couple posing with a plastic orange and white tiger
18534,3016741474_72b4355198,A man dressed as a safari hunter poses with a woman and his inflatable tiger toy .
18535,3016759846_062663f8ab,A boy and a girl are dressed in colorful costumes .
18536,3016759846_062663f8ab,A man in a red costume is talking to a girl in a Snow White costume .
18537,3016759846_062663f8ab,Two children are dressed up like characters in Michael Jackson 's ' Thriller ' video .
18538,3016759846_062663f8ab,Two people dressed in costumes .
18539,3016759846_062663f8ab,Two people dressed in costumes talk to each other .
18540,3017203816_5dc2a6b392,A blond lady and an Asian guy have blood stains on their face and neck .
18541,3017203816_5dc2a6b392,A bloody man and woman pose for a picture .
18542,3017203816_5dc2a6b392,A man and woman dressed in costume pose for the camera .
18543,3017203816_5dc2a6b392,An Asian man is dressed as an explorer is posing with a woman dressed up as a movie starlet .
18544,3017203816_5dc2a6b392,Woman in sunglasses accompanied by a man in a safari outfit .
18545,3017220118_6a9212dfdb,a group of three people walking together .
18546,3017220118_6a9212dfdb,A man in a fancy pattern jacket stands outside a club with two ladies .
18547,3017220118_6a9212dfdb,"Three people , faces obscured , standing in formal dress ."
18548,3017220118_6a9212dfdb,Two women in dark clothes are taking a picture with a man in a colorful coat .
18549,3017220118_6a9212dfdb,Two women looking at the camera and a man looking away .
18550,3017373346_3a34c3fe9d,A black and brown dog playing in the water at a beach .
18551,3017373346_3a34c3fe9d,A black dog and a dog that is brown and white stand in the water .
18552,3017373346_3a34c3fe9d,The large black dog and a small red and white dog are standing in the water .
18553,3017373346_3a34c3fe9d,Two dogs are sniffing each other while standing in a body of water .
18554,3017373346_3a34c3fe9d,Two dogs in the water .
18555,3017521547_f5ef8848e3,Two girls are fighting over a ball during a game .
18556,3017521547_f5ef8848e3,two woman competing in a sporting event
18557,3017521547_f5ef8848e3,Two women are playing a game with sticks and a small white ball .
18558,3017521547_f5ef8848e3,Two women are reaching with sticks for a ball during a sports game .
18559,3017521547_f5ef8848e3,Two women playing field hockey .
18560,3017656907_c3b137e070,A group of speed skaters making a turn with a blue advertisement behind them .
18561,3017656907_c3b137e070,Three ice skaters round a corner .
18562,3017656907_c3b137e070,Three people racing on ice skates .
18563,3017656907_c3b137e070,Three speed skaters racing down the ice rink .
18564,3017656907_c3b137e070,Three speed skaters skating .
18565,3018304737_0a46fc5f1d,a lone surfboarder surfing a wave riding a white surfboard .
18566,3018304737_0a46fc5f1d,A man catches a huge wave on his surfboard .
18567,3018304737_0a46fc5f1d,A surfboarder going down a wave .
18568,3018304737_0a46fc5f1d,A surfer makes a turn on a wave .
18569,3018304737_0a46fc5f1d,The surfer is riding a wave .
18570,3018467501_a03d404413,A group of little girls jumping together in a backyard .
18571,3018467501_a03d404413,Several young girls playing on a trampoline with a blue covering .
18572,3018467501_a03d404413,Three girls happily jumping .
18573,3018467501_a03d404413,Three girls jumping on a trampoline .
18574,3018467501_a03d404413,Young girls play together with glee and joy .
18575,3018847610_0bf4d7e43d,A man is jumping on another man with a white face and long hair in a wrestling Ring .
18576,3018847610_0bf4d7e43d,A man performs a wrestling move on the wrestler in the rink .
18577,3018847610_0bf4d7e43d,A professional wrestler takes a flying leap onto another wrestler .
18578,3018847610_0bf4d7e43d,A wrestler is falling onto another wrestler who is laying in a ring .
18579,3018847610_0bf4d7e43d,People are watching the wrestler fall .
18580,3019199755_a984bc21b1,A driver is at the wheel of a race car .
18581,3019199755_a984bc21b1,A man inside a red race car gives a thumbs up sign .
18582,3019199755_a984bc21b1,A man is in a red race car while another man is at the back of it .
18583,3019199755_a984bc21b1,A man is smiling whilst sitting inside a red racing car .
18584,3019199755_a984bc21b1,A race car driver smiles and gives the thumbs up before a race .
18585,3019473225_8e59b8ec4e,A black and white dog in the grass holding a pine cone in its mouth .
18586,3019473225_8e59b8ec4e,A black and white dog is biting on a pine cone on the grass .
18587,3019473225_8e59b8ec4e,A black and white dog playing with a pine cone .
18588,3019473225_8e59b8ec4e,A dog eating a pine cone .
18589,3019473225_8e59b8ec4e,A dog plays with a pine cone .
18590,3019609769_c7809177f6,A group of dark-skinned people are walking past barbed wire .
18591,3019609769_c7809177f6,A group of people are walking down a road passing by some barb-wire .
18592,3019609769_c7809177f6,A group of people carrying bags walk near a barb wire fence .
18593,3019609769_c7809177f6,A poor family is leaving their home with only a few belongings .
18594,3019609769_c7809177f6,A small group of black adults and children are walking on a brown surface .
18595,3019667009_20db160195,A boy dances as another boy stands on a short brick wall .
18596,3019667009_20db160195,Two boys are playing on very old architectural structures .
18597,3019667009_20db160195,Two boys play outside a building .
18598,3019667009_20db160195,Two people stand outside near an arched doorway .
18599,3019667009_20db160195,Young boys playing in front of fortess gate
18600,3019842612_8501c1791e,A boy wearing a teal shirt is riding a skateboard on a sidewalk .
18601,3019842612_8501c1791e,A man wearing a green shirt is skateboarding on a ramp beside a white fence .
18602,3019842612_8501c1791e,A skateboarder in a light green shirt .
18603,3019842612_8501c1791e,A young male wearing a blue shirt rides a skateboard in an outdoor park at night .
18604,3019842612_8501c1791e,A young man skateboards at night by a fence .
18605,3019857541_3de3e24f54,A brown dog leaps in the air over colorful leafs
18606,3019857541_3de3e24f54,A dog is jumping in the air over some leaves .
18607,3019857541_3de3e24f54,A dog is running through a backyard full of leaves .
18608,3019857541_3de3e24f54,A dog knocking over potted plants in a yard covered in leaves .
18609,3019857541_3de3e24f54,The small brown dog is amidst the potted plants and fallen leaves .
18610,3019917636_4e0bb0acc4,A woman in a race turning a corner .
